"Conditions","Conditions"
"Save Answer","Save Answer"
"Delete Answer","Delete Answer"
"Save And Continue Edit","Save And Continue Edit"
"Edit Question ","Edit Question "
"Add Question","Add Question"
"ID","ID"
"Title","Title"
"Item Content","Item Content"
"Status","Status"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Answer Manager","Answer Manager"
"Add Answer","Add Answer"
"Profile Information","Profile Information"
"Name","Name"
"Owner Email","Owner Email"
"Image","Image"
"Configured to receive mail","Configured to receive mail"
"Store group","Store group"
"Type","Type"
"Is Private","Is Private"
"Follows","Follows"
"Showroom Information","Showroom Information"
"Save Profile","Save Profile"
"Delete Profile","Delete Profile"
"Edit Profile  ","Edit Profile  "
"Add Profile","Add Profile"
"Profile Owner","Profile Owner"
"Email","Email"
"Profile Manager","Profile Manager"
"Answer","Answer"
"Attrib. Set Name","Attrib. Set Name"
"Visibility","Visibility"
"SKU","SKU"
"Price","Price"
"Position","Position"
"Question information","Question information"
"Use Default","Use Default"
"-- Please Select --","-- Please Select --"
"STORE VIEW","STORE VIEW"
"Is Required","Is Required"
"Store View","Store View"
"Sort","Sort"
"Question Information","Question Information"
"Answers","Answers"
"Save Question","Save Question"
"Delete Question","Delete Question"
"Question Manager","Question Manager"
"Showroom information","Showroom information"
"Showroom owner","Showroom owner"
"Point","Point"
"Question title","Question title"
"Show room Information","Show room Information"
"General Information","General Information"
"Style","Style"
"Preferred Products","Preferred Products"
"Followers","Followers"
"Save Showroom","Save Showroom"
"Delete Showroom","Delete Showroom"
"Edit Showroom ","Edit Showroom "
"Add Showroom","Add Showroom"
"Showroom Owner","Showroom Owner"
"Show room Manager","Show room Manager"
"Relevance","Relevance"
"No","No"
"Yes","Yes"
"Enable","Enable"
"Disable","Disable"
"Showroom Product","Showroom Product"
"Required","Required"
"Able to turn off popup","Able to turn off popup"
"Not show","Not show"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Enabled","Enabled"
"Disabled","Disabled"
"Public","Public"
"Privacy","Privacy"
"Default","Default"
"Pink","Pink"
"Black","Black"
"Blue","Blue"
"Green","Green"
"Orange","Orange"
"Answers Manager","Answers Manager"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Profile News","Profile News"
"Profile does not exist","Profile does not exist"
"Profile was successfully saved","Profile was successfully saved"
"Unable to find Profile to save","Unable to find Profile to save"
"Profile was successfully deleted","Profile was successfully deleted"
"Questions Manager","Questions Manager"
"Question News","Question News"
"Question does not exist","Question does not exist"
"Question was successfully saved","Question was successfully saved"
"Question was successfully deleted","Question was successfully deleted"
"Showroom Manager","Showroom Manager"
"Showroom News","Showroom News"
"Showroom does not exist","Showroom does not exist"
"Showroom was successfully saved","Showroom was successfully saved"
"Unable to find Showroom to save","Unable to find Showroom to save"
"Showroom was successfully deleted","Showroom was successfully deleted"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Create showroom","Create showroom"
"Showroom Create","Showroom Create"
"Showroom","Showroom"
"Go to my Showroom","Go to my Showroom"
"Showroom Listing","Showroom Listing"
"Go to Showroom Listing","Go to Showroom Listing"
"My Showroom","My Showroom"
"Go to My Showroom","Go to My Showroom"
"Setting","Setting"
"Manage Question","Manage Question"
"Manage Showroom","Manage Showroom"
"Manage Profile","Manage Profile"
"Settings","Settings"
"Allow Everything","Allow Everything"
"test","test"
"Magestore Extension","Magestore Extension"
"General Configuration","General Configuration"
"Showroom style","Showroom style"
"Show popup to create showroom","Show popup to create showroom"
"Size of product image in showroom","Size of product image in showroom"
"Showroom Configuration","Showroom Configuration"
"Default showroom privacy","Default showroom privacy"
"Number of products per column on Product Grid page","Number of products per column on Product Grid page"
"Number of additional rows displayed when clicking view more","Number of additional rows displayed when clicking view more"
"Maximum number of showrooms on Showroom listing page","Maximum number of showrooms on Showroom listing page"
"Number of products in each category shown on Overview page","Number of products in each category shown on Overview page"
"Select category to display in showroom","Select category to display in showroom"
"Number of questions on each page ","Number of questions on each page "
"Expiration time of cookie (days)","Expiration time of cookie (days)"
"Facebook Configuration","Facebook Configuration"
"Facebook Application ID ","Facebook Application ID "
"Facebook Application Secret ","Facebook Application Secret "
"Message shared on Facebook","Message shared on Facebook"
"Message to invite friends on Facebook","Message to invite friends on Facebook"
"Email Template Configuration","Email Template Configuration"
"Email Template","Email Template"
"Email Sender","Email Sender"
"Popup Configuration","Popup Configuration"
"Popup Title","Popup Title"
"Popup Subtitle","Popup Subtitle"
"Welcome message","Welcome message"
"First Step","First Step"
"Second Step","Second Step"
"Third Step","Third Step"
"{Width}x{height} example: 135x135.<br/> This is the size of product image displayed on Overview, View all and Edit showroom pages.","{Width}x{height} example: 135x135.<br/> This is the size of product image displayed on Overview, View all and Edit showroom pages."
"The default privacy of showroom when it is created.","The default privacy of showroom when it is created."
"The number of products in each column shown on Product Grid page.","The number of products in each column shown on Product Grid page."
"The number of additional rows displayed when customer clicks on View more link in Edit Showroom page","The number of additional rows displayed when customer clicks on View more link in Edit Showroom page"
"Press Ctrl to select multiple categories","Press Ctrl to select multiple categories"
"The number of question displayed on each page when creating showroom","The number of question displayed on each page when creating showroom"
"Expiration time of cookie saved in client browser","Expiration time of cookie saved in client browser"
"Email is sent to customer when there is any change in showrooms that he follows","Email is sent to customer when there is any change in showrooms that he follows"
"Product Coditions","Product Coditions"
"Answer No #","Answer No #"
"Label","Label"
"Create Conditions","Create Conditions"
"Product Conditions is the condition to determine the products related to an answer. 
When customer choose this answer means that they are interested in products which 
are set in product conditions.
Some examples of product conditions:
Category is one of 22,23
Name contains Computer
Color is black
			","Product Conditions is the condition to determine the products related to an answer. 
When customer choose this answer means that they are interested in products which 
are set in product conditions.
Some examples of product conditions:
Category is one of 22,23
Name contains Computer
Color is black
			"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"View Products","View Products"
"Form Fields Before","Form Fields Before"
"show room","show room"
"Edit my showroom","Edit my showroom"
"Re-create showroom","Re-create showroom"
"Items Filter ","Items Filter "
"All","All"
"In my showroom","In my showroom"
"Not in my showroom","Not in my showroom"
"There are no products matching the selection.","There are no products matching the selection."
"Loading","Loading"
"view more","view more"
"save","save"
"Edit Showroom","Edit Showroom"
"Learn More","Learn More"
"Follow","Follow"
"Unfollows","Unfollows"
"Share on facebook","Share on facebook"
"View all","View all"
"Add to Cart","Add to Cart"
"Out of stock","Out of stock"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Thank you for sharing ","Thank you for sharing "
"showroom listing","showroom listing"
"Click on a friend below to view her selections.","Click on a friend below to view her selections."
"Connect to facebook","Connect to facebook"
"Stylists","Stylists"
"Build your showroom","Build your showroom"
"Sort by ","Sort by "
"Most Follow","Most Follow"
"Newest","Newest"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Reconnect to facebook","Reconnect to facebook"
"Invite friends on facebook","Invite friends on facebook"
"Click on a friend below to invite.","Click on a friend below to invite."
"Ready for the big reveal ?","Ready for the big reveal ?"
"Join to see your style profile","Join to see your style profile"
"If you have an account . Click ","If you have an account . Click "
"here ","here "
"to Log in ","to Log in "
"Email Address","Email Address"
"Company","Company"
"Telephone","Telephone"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"City","City"
"State/Province","State/Province"
"Please select region, state or province","Please select region, state or province"
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"Password","Password"
"Confirm Password","Confirm Password"
"Join for free","Join for free"
"We respect ypur privacy. Read our ","We respect ypur privacy. Read our "
"Privacy Policy.","Privacy Policy."
"By clickong above you agree to our ","By clickong above you agree to our "
" Terms and Conditions"," Terms and Conditions"
" and consent to receive email from Company Name. You can update your email preferences at any time."," and consent to receive email from Company Name. You can update your email preferences at any time."
"Friends","Friends"
"Re connect to facebook","Re connect to facebook"
"Invite","Invite"
"View All","View All"
"My Show Room","My Show Room"
"Name: ","Name: "
"Follows: ","Follows: "
"Close","Close"
"GET STARTED NOW","GET STARTED NOW"
"Edit Profile Information","Edit Profile Information"
"Name:  ","Name:  "
"Email  ","Email  "
"Change Avatar","Change Avatar"
"Receive email when there is any change in the showrooms that you follow.","Receive email when there is any change in the showrooms that you follow."
"Is private","Is private"
"Edit showroom","Edit showroom"
"Back","Back"
"Save","Save"
"Style Profile","Style Profile"
"Take the Quiz and Discover Your Style Profile in Just a Few Minutes","Take the Quiz and Discover Your Style Profile in Just a Few Minutes"
"Cancel","Cancel"
"QUIZ PROGRESS","QUIZ PROGRESS"
"Continue","Continue"
"Shop By","Shop By"
"Shopping Options","Shopping Options"
